"Date","VALFN","VIRG251LFN","BLAC951LFN","CHAR851LFN","HARR551LFN","LYNC351LFN","RICH051LFN","ROAN251LFN","WINC051LFN","WASH911LFN","staunton"
"03/01/2010","4125312","825350","89647","110735","63662","125736","623877","158449","64612","3119455","59217.0"
"04/01/2010","4177778","836649","90746","112382","64645","127223","631692","160225","65826","3140863","59873.0"
"05/01/2010","4185654","838162","88725","113206","64061","127288","633645","160594","66240","3153076","59740.0"
"06/01/2010","4185757","840592","86566","112603","63944","126645","633216","160836","66145","3173204","59559.0"
"07/01/2010","4205051","848111","86668","110702","63247","127154","634526","160060","65988","3210348","59574.0"
"08/01/2010","4184500","848777","87145","109425","62100","126766","632972","159363","66004","3169936","59120.0"
"09/01/2010","4174110","839544","89781","111135","63380","126874","630516","159173","65645","3162532","59114.0"
"10/01/2010","4162485","832793","90147","111636","63679","126629","628678","158952","65447","3162239","58881.0"
"11/01/2010","4160174","829484","89569","111900","64032","126764","628329","158798","65723","3163764","59032.0"
"12/01/2010","4154452","829262","90060","110750","63605","125895","627200","158672","65373","3161732","58539.0"
"01/01/2011","4160172","825948","86536","109608","64863","125755","629676","158684","65962","3171694","59173.0"
"02/01/2011","4167912","826274","90286","111729","65393","125901","630297","158988","65912","3173625","59165.0"
"03/01/2011","4195456","832535","90624","112529","66027","126735","633469","159482","66361","3184356","59751.0"
"04/01/2011","4202767","835671","91475","112443","66232","125282","635094","159320","67110","3181242","59998.0"
"05/01/2011","4221078","840442","89583","113803","65984","125701","636692","159868","67868","3187484","60333.0"
"06/01/2011","4228490","846636","88072","113414","65345","125170","636682","160455","68008","3210728","60091.0"
"07/01/2011","4243953","853026","87992","112084","64051","125582","640961","160104","67432","3239583","59803.0"
"08/01/2011","4232181","853792","89294","110331","63067","125982","639862","161158","67374","3209053","59626.0"
"09/01/2011","4230370","847534","92075","112880","64338","125325","639285","161182","67230","3207393","59471.0"
"10/01/2011","4229622","841540","91794","114492","65233","125639","642803","160233","67396","3211177","59468.0"
"11/01/2011","4219509","836845","90586","115034","65439","125551","641802","160028","67296","3203675","59379.0"
"12/01/2011","4210114","836143","91010","113636","65248","124939","639346","159715","66981","3201487","59058.0"
"01/01/2012","4192056","831555","87709","110362","65205","123919","636429","158781","67000","3200218","59281.0"
"02/01/2012","4210399","834696","92027","113039","65568","123968","638521","159503","67086","3212736","59270.0"
"03/01/2012","4224310","835849","91720","113786","65861","124575","639935","160225","67556","3219398","59721.0"
"04/01/2012","4212020","834219","92209","113060","65775","124458","639779","159357","67310","3205920","59247.0"
"05/01/2012","4243939","839852","91485","114672","65676","125412","644053","160632","67898","3226267","59493.0"
"06/01/2012","4256432","845948","89082","113252","65252","124962","647244","160382","68394","3254505","59525.0"
"07/01/2012","4258840","851310","89024","111590","64525","125593","647039","160800","67940","3274652","58922.0"
"08/01/2012","4210706","843267","88900","108997","62746","124219","642318","159805","67543","3236245","57927.0"
"09/01/2012","4221249","838504","92356","112519","64508","123673","642811","159961","67134","3241756","58357.0"
"10/01/2012","4238102","840930","92540","115114","65335","124195","645529","159678","67548","3262089","58599.0"
"11/01/2012","4209305","833185","90770","115522","64993","123459","641177","158898","67114","3247366","58250.0"
"12/01/2012","4208777","834587","91548","113934","64575","123252","643209","159051","66996","3244943","58297.0"
"01/01/2013","4210542","835250","89595","110545","64952","123208","641677","158812","67418","3248743","58419.0"
"02/01/2013","4211683","834262","93278","112427","65036","123248","641578","159196","67207","3245996","58383.0"
"03/01/2013","4219621","836466","92212","112502","64919","123074","643218","159271","67457","3246601","58624.0"
"04/01/2013","4233218","839023","92433","113668","65277","123875","645460","159516","67802","3248092","59113.0"
"05/01/2013","4267513","846433","92209","114876","64565","124859","648494","160824","68694","3265563","59544.0"
"06/01/2013","4281069","853954","89849","113334","64874","125384","651661","160661","69118","3285503","59886.0"
"07/01/2013","4292550","858970","90028","112833","64773","126139","654431","161370","69110","3302966","59617.0"
"08/01/2013","4247117","854385","89519","110605","62992","124554","649763","160385","68469","3258923","58694.0"
"09/01/2013","4237241","844063","92687","113049","64437","123310","646910","160453","67962","3254016","58723.0"
"10/01/2013","4213120","837383","92247","111612","64700","122540","644052","159369","68076","3251793","58382.0"
"11/01/2013","4218878","836477","91457","112056","64533","123186","649721","159783","67851","3247179","58543.0"
"12/01/2013","4206163","835193","91849","111145","64684","122823","647233","159395","67484","3233353","58423.0"
"01/01/2014","4223768","840173","89034","111061","64450","123578","651461","160541","67729","3241220","58640.0"
"02/01/2014","4241632","842209","93257","113998","65175","123803","651904","160685","67743","3250662","58999.0"
"03/01/2014","4272849","847216","93925","115302","65733","124906","656772","161924","68678","3259318","59533.0"
"04/01/2014","4253715","844886","92578","116091","65672","123991","654745","160920","68734","3240694","59191.0"
"05/01/2014","4282601","851095","91565","116551","65103","124691","659947","161928","69201","3264570","59595.0"
"06/01/2014","4287456","856242","89134","115085","64772","124876","661400","161801","69448","3288065","59483.0"
"07/01/2014","4298142","860699","89856","113868","64953","125919","663255","161647","69445","3308572","59615.0"
"08/01/2014","4247310","853823","89553","112719","62869","123982","657139","160586","68676","3265542","58697.0"
"09/01/2014","4226366","841387","92055","115895","64655","123186","651254","160237","68103","3255871","58799.0"
"10/01/2014","4238937","841613","91856","115103","64724","123516","655072","159656","67997","3276857","58815.0"
"11/01/2014","4216852","834813","90223","115692","63929","123012","654210","159241","67612","3265906","58565.0"
"12/01/2014","4195888","831998","90978","114454","63978","122019","652024","158894","67330","3249169","58291.0"
"01/01/2015","4211670","834536","88294","114235","63603","122464","654455","158736","67846","3265504","58293.0"
"02/01/2015","4214455","832855","92436","116398","64860","122166","653298","158365","67866","3261713","58625.0"
"03/01/2015","4223077","834902","92174","116362","64710","122516","654817","158684","68243","3262215","59133.0"
"04/01/2015","4232878","836058","92435","117133","65284","123025","655274","157610","68677","3264996","58981.0"
"05/01/2015","4263797","842567","91436","116772","64794","124166","661866","158871","69172","3284590","59328.0"
"06/01/2015","4248608","842661","88956","115218","64394","123601","659679","157461","69589","3295522","59141.0"
"07/01/2015","4252571","844929","88643","113913","64386","123886","660114","156895","69426","3312733","58895.0"
"08/01/2015","4201876","837850","89171","112288","61948","122679","654282","155781","68714","3267881","57840.0"
"09/01/2015","4169891","824150","91038","114825","63539","121205","649622","154852","68247","3251720","57582.0"
"10/01/2015","4180883","825518","90828","114150","63321","120901","654208","154871","67847","3271517","57728.0"
"11/01/2015","4172516","821717","89645","114770","62947","120276","655436","154391","67551","3269150","57498.0"
"12/01/2015","4172390","822358","90385","113843","63203","120157","654504","154667","67363","3264726","57674.0"
"01/01/2016","4179096","822527","86389","112657","63146","120195","655750","155372","67968","3274084","57739.0"
"02/01/2016","4211047","827228","92259","115530","64537","120545","659532","155812","68553","3287021","58227.0"
"03/01/2016","4237899","834121","92074","115818","64596","121575","662840","157830","69008","3298956","58869.0"
"04/01/2016","4226469","832821","92331","115529","64969","120539","660492","156771","69012","3290317","58591.0"
"05/01/2016","4240815","834525","90867","115042","64072","121346","662657","157668","69266","3299917","58748.0"
"06/01/2016","4258789","842727","88167","115281","64244","121417","665575","157626","69761","3325964","59019.0"
"07/01/2016","4283528","849954","88536","114077","64771","122288","670016","157982","70051","3353057","59391.0"
"08/01/2016","4250825","843713","90689","113744","63740","121582","664357","157282","69873","3317964","59028.0"
"09/01/2016","4251219","836717","92612","117348","65900","121985","664154","157563","69639","3316842","59412.0"
"10/01/2016","4258096","836247","92350","116523","65558","121743","667386","158039","69479","3337197","59223.0"
"11/01/2016","4249068","829437","91396","117881","65490","121877","665307","157627","69335","3333272","59284.0"
"12/01/2016","4237986","826801","91673","116805","65563","121752","662447","158103","69008","3322087","59184.0"
"01/01/2017","4242259","830362","88648","114934","64907","121277","663918","158673","69348","3341626","59155.0"
"02/01/2017","4267816","833835","92672","117663","66021","121669","667606","158692","69719","3365662","59277.0"
"03/01/2017","4293840","837417","93839","118042","65880","122873","672845","160199","70130","3370444","59884.0"
"04/01/2017","4304904","836971","93999","119263","66962","122928","675787","159484","70654","3368573","60374.0"
"05/01/2017","4321660","842140","92657","119396","65334","122611","680313","160513","70795","3385298","60345.0"
"06/01/2017","4365235","0","0","0","0","0","0","0","0","0","0.0"
